Year	Vol	Source	OCR	Ref	ID	Pages	Tokens
1834	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=fSM4AAAAMAAJ	gb_fSM4AAAAMAAJ	351	328337
1834	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=cCQ4AAAAMAAJ	gb_cCQ4AAAAMAAJ	525	507976
1834	5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=Hig4AAAAMAAJ	gb_Hig4AAAAMAAJ	395	318502
1835	1	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=fCg4AAAAMAAJ	gb_fCg4AAAAMAAJ	369	352713
1835	2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=7yg4AAAAMAAJ	gb_7yg4AAAAMAAJ	319	296618
1835	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=QCk4AAAAMAAJ	gb_QCk4AAAAMAAJ	323	307639
1835	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=GCo4AAAAMAAJ	gb_GCo4AAAAMAAJ	493	470972
1835	5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=GSo4AAAAMAAJ	gb_GSo4AAAAMAAJ	347	267158
1836	1	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=jSo4AAAAMAAJ	gb_jSo4AAAAMAAJ	337	318536
1836	2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=8Co4AAAAMAAJ	gb_8Co4AAAAMAAJ	335	322672
1836	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=WCs4AAAAMAAJ	gb_WCs4AAAAMAAJ	357	342908
1836	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=2Ss4AAAAMAAJ	gb_2Ss4AAAAMAAJ	491	469380
1836	5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=Qiw4AAAAMAAJ	gb_Qiw4AAAAMAAJ	327	254320
1837	1	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=wiw4AAAAMAAJ	gb_wiw4AAAAMAAJ	331	312518
1837	2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=Di04AAAAMAAJ	gb_Di04AAAAMAAJ	331	313652
1837	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=iS04AAAAMAAJ	gb_iS04AAAAMAAJ	331	311600
1837	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=hS84AAAAMAAJ	gb_hS84AAAAMAAJ	491	477192
1837	5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=kCM4AAAAMAAJ	gb_kCM4AAAAMAAJ	433	361750
1838	1	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=PRU4AAAAMAAJ	gb_PRU4AAAAMAAJ	331	308005
1838	2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=5Dc4AAAAMAAJ	gb_5Dc4AAAAMAAJ	331	312392
1838	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=5Tc4AAAAMAAJ	gb_5Tc4AAAAMAAJ	333	307503
1838	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=Izk4AAAAMAAJ	gb_Izk4AAAAMAAJ	463	447175
1838	5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=wTk4AAAAMAAJ	gb_wTk4AAAAMAAJ	371	295253
1839	1	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=7hY4AAAAMAAJ	gb_7hY4AAAAMAAJ	315	264826
1839	2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=Mxc4AAAAMAAJ	gb_Mxc4AAAAMAAJ	317	263093
1839	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=Chg4AAAAMAAJ	gb_Chg4AAAAMAAJ	459	388930
1839	5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=Yxg4AAAAMAAJ	gb_Yxg4AAAAMAAJ	323	247255
1840	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=rzA4AAAAMAAJ	gb_rzA4AAAAMAAJ	343	287197
1840	4_5	Oxford University	Google (internal)	https://books.google.de/books?id=rYsFAAAAQAAJ	gb_rYsFAAAAQAAJ	801	670142
1841	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=mxs4AAAAMAAJ	gb_mxs4AAAAMAAJ	447	370034
1841	1_2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=-hk4AAAAMAAJ	gb_-hk4AAAAMAAJ	623	517790
1841	3_5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=RzI4AAAAMAAJ	gb_RzI4AAAAMAAJ	585	490674
1842	3	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=DR04AAAAMAAJ	gb_DR04AAAAMAAJ	627	549091
1842	4	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=hB04AAAAMAAJ	gb_hB04AAAAMAAJ	435	359588
1842	1_2	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=Txw4AAAAMAAJ	gb_Txw4AAAAMAAJ	623	520792
1843	3_5	Library of the University of Michigan	Google (internal)	https://books.google.de/books?id=7R44AAAAMAAJ	gb_7R44AAAAMAAJ	679	616234
1843	4_5	Library of University of California	Google (internal)	https://books.google.de/books?id=qsaEAAAAIAAJ	gb_qsaEAAAAIAAJ	799	717345
1844	1	Library of Princeton University	Google (internal)	https://books.google.de/books?id=MHlIAAAAYAAJ	gb_MHlIAAAAYAAJ	683	555281
1844	2_3	Library of Princeton University	Google (internal)	https://books.google.de/books?id=Fy9RAAAAYAAJ	gb_Fy9RAAAAYAAJ	1069	970618
1845	2	Harvard University Library	Google (internal)	https://books.google.de/books?id=blErAAAAYAAJ	gb_blErAAAAYAAJ	801	707796
1845	1	University of Illinois Urbana-Champaign	Tesseract 4.0	https://archive.org/details/allgemeinelitera1845unse	allgemeinelitera1845unse	604	494164
1845	IB	Library of University of California	Google (internal)	https://books.google.de/books?id=h8eEAAAAIAAJ	gb_h8eEAAAAIAAJ	657	688621
1846	1	Harvard University Library	Google (internal)	https://books.google.de/books?id=cIgrAAAAYAAJ	gb_cIgrAAAAYAAJ	727	614897
1846	2	Library of Princeton University	Google (internal)	https://books.google.de/books?id=yi9RAAAAYAAJ	gb_yi9RAAAAYAAJ	913	794146
1846	IB	New York Public Library	Google (internal)	https://books.google.de/books?id=SZUKAAAAYAAJ	gb_SZUKAAAAYAAJ	319	312229
1847	2	University of Illinois Urbana-Champaign	Tesseract 4.0	https://archive.org/details/allgemeinelitera1847unse	allgemeinelitera1847unse	908	804936
1848	1	Oxford University	Tesseract 4.0	https://archive.org/details/allgemeineliter253unkngoog	allgemeineliter253unkngoog	595	489574
1849	1_2_3	Library of Princeton University	Google (internal)	https://books.google.de/books?id=gR5RAAAAYAAJ	gb_gR5RAAAAYAAJ	1339	1118089
1847_1848_1849	IB	Library of University of California	Google (internal)	https://books.google.de/books?id=jKuEAAAAIAAJ	gb_jKuEAAAAIAAJ	657	614591
