Year	Volume	Source	XML URL	Pages	Tokens
1809	1_2	Princeton University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_ByBRAAAAYAAJ.xml	995	1003366
1810	1	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_sBE4AAAAMAAJ.xml	532	533295
1810	2	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_NhI4AAAAMAAJ.xml	498	490398
1810	3_4	Princeton University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_lyFRAAAAYAAJ.xml	1139	1141078
1811	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502045.xml	514	498079
1811	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502046.xml	506	500039
1811	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502047.xml	496	489066
1811	4	New York Public Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter198unkngoog.xml	621	641903
1812	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502048.xml	466	444703
1812	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502049.xml	462	448782
1812	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502050.xml	544	532458
1812	4	University of Michigan	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/allgemeineliter215unkngoog.xml	582	594405
1813	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502051.xml	454	433718
1813	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502052.xml	448	422380
1813	3	Indiana University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_f9bjAAAAMAAJ.xml	416	412587
1813	4	Oxford University	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bub_gb_cogFAAAAQAAJ.xml	598	599087
1814	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502054.xml	430	404403
1814	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502055.xml	426	394479
1814	3	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502056.xml	488	462069
1814	4	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502057.xml	589	578626
1815	1	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502058.xml	430	405335
1815	2	Bavarian State Library	https://raw.githubusercontent.com/JULIELab/alz/master/v1_201901/xml/bsb10502059.xml	438	411219
